#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1051
#Date Time: 2022-12-04 15:44:12.413
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
0.00391875,0.2748633421747798,0.05113774964325063
0.00392,0.276894939543283,0.05819129790062604
0.00392125,0.2674141518236013,0.06692426240975749
0.0039225,0.2687685500692701,0.07196251116502564
0.00392375,0.2701229483149389,0.07901605942240104
0.003925,0.2745247426133626,0.08472607467837161
0.00392625,0.2748633421747798,0.09278727268680065
0.0039275,0.2748633421747798,0.09883317119312243
0.00392875,0.273508943929111,0.1075661357022539
0.00393,0.2711387469991905,0.1119326179568196
0.00393125,0.2796037360346206,0.1199938159652486
0.0039325,0.2755405412976142,0.1263755977219216
0.00393375,0.271815946122025,0.1334291459792971
0.003935,0.2701229483149389,0.1388032779849164
0.00393625,0.2708001474377734,0.1472003592436966
0.0039375,0.2724931452448593,0.152574491249316
0.00393875,0.276894939543283,0.158956273005989
0.00394,0.2765563399818657,0.1683610040158229
0.00394125,0.276894939543283,0.173399252771091
0.0039425,0.2843441298944613,0.1784375015263592
0.00394375,0.2741861430519454,0.186162816284437
0.003945,0.2755405412976142,0.1928804812914612
0.00394625,0.273508943929111,0.2019493290509439
0.0039475,0.2748633421747798,0.2056440448048071
0.00394875,0.2755405412976142,0.2130334763125338
0.00395,0.2772335391047002,0.219751141319558
0.00395125,0.2728317448062766,0.2254611565755286
0.0039525,0.2758791408590314,0.2328505880832552
0.00395375,0.2738475434905281,0.238896486589577
0.003955,0.2792651364732033,0.2456141515966011
0.00395625,0.2738475434905281,0.2509882836022205
0.0039575,0.2691071496306874,0.2600571313617032
0.00395875,0.2728317448062766,0.2647594968666201
0.00396,0.2694457491921046,0.2728206948750491
0.00396125,0.2758791408590314,0.2768512938792637
0.0039625,0.2728317448062766,0.2849124918876927
0.00396375,0.2772335391047002,0.2902866238933121
0.003965,0.2752019417361969,0.2976760554010387
0.00396625,0.2779107382275345,0.3040578371577117
0.0039675,0.2748633421747798,0.309431969163331
0.00396875,0.2697843487535218,0.3164855174207064
0.00397,0.2697843487535218,0.3225314159270282
0.00397125,0.2694457491921046,0.3299208474347548
0.0039725,0.271815946122025,0.334959096190023
0.00397375,0.2728317448062766,0.3426844109481008
0.003975,0.2758791408590314,0.3470508932026665
0.00397625,0.2741861430519454,0.3551120912110955
0.0039775,0.2752019417361969,0.3611579897174174
0.00397875,0.2809581342802894,0.3658603552223343
0.00398,0.2745247426133626,0.3725780202293585
0.00398125,0.2748633421747798,0.3796315684867339
0.0039825,0.2714773465606078,0.3850057004923532
